Y,X1,X2,X3
25019280,486,99,520
114181760,331,539,640
59644416,103,768,754
88389630,714,315,393
63002184,303,329,632
288549800,914,385,820
879264,4,344,639
76056435,615,453,273
506694825,949,945,565
3365544,871,12,322
206524728,414,558,894
16266816,911,24,744
17427000,1000,157,111
30047160,110,442,618
14301600,885,32,505
127709208,242,548,963
512059968,927,672,822
400839768,687,604,966
38920140,119,690,474
461040,17,80,339
113069902,659,242,709
14406480,856,33,510
2014950,202,525,19
1333584,294,252,18
202507020,395,564,909
195779844,234,859,974
188766976,608,394,788
12688060,847,140,107
2405700,810,165,18
318570660,521,645,948
371901530,715,701,742
68181750,555,650,189
155075445,985,459,343
253771980,826,462,665
15933000,564,250,113
60078000,200,646,465
218186488,377,991,584
15373800,675,292,78
24596246,443,391,142
102985168,247,824,506
37079550,655,370,153
180248166,841,294,729
26243798,313,113,742
670700,353,50,38
5917440,160,134,276
3805824,424,176,51
420715383,957,499,881
2928300,908,25,129
106652035,361,805,367
128608128,597,748,288
12854754,171,561,134
26214720,560,498,94
95881632,176,763,714
39235770,246,343,465
122129271,801,167,913
500860800,792,680,930
65397888,381,894,192
132832575,395,477,705
316428471,603,829,633
77298688,274,304,928
30349080,646,405,116
109453600,328,940,355
9291072,64,217,669
34962840,486,327,220
25785188,286,739,122
397671456,929,686,624
410720,151,34,80
31598784,714,461,96
37143036,721,212,243
99482472,498,716,279
14048640,80,216,813
25185420,235,458,234
44102618,118,749,499
68158602,309,582,379
228422832,968,587,402
5092010,385,17,778
25687739,743,77,449
667898880,804,944,880
56283498,918,107,573
22482304,229,944,104
1412660,83,74,230
125836740,449,692,405
216612474,362,687,871
3502980,499,90,78
64906772,574,287,394
108724812,129,868,971
35647792,157,368,617
292830,215,6,227
33743640,102,556,595
15659910,477,35,938
160587924,399,956,421
506462138,931,686,793
20874084,574,627,58
45417248,898,872,58
18779904,627,156,192
180423936,864,231,904
55303380,583,204,465
247217305,655,571,661
387787760,860,811,556
66266748,306,954,227
14631240,166,260,339
137876388,741,724,257
79774464,284,352,798
3488100,11,700,453
177998800,700,421,604
105693441,727,903,161
52110216,846,522,118
23032242,738,309,101
340800768,612,791,704
25050588,281,138,646
75950076,313,277,876
3811750,50,965,79
243686160,510,516,926
1166496,174,8,838
39934000,500,974,82
219463860,660,469,709
308807016,686,466,966
68346180,574,162,735
145392016,253,733,784
113240400,427,975,272
59235855,245,971,249
193347392,952,212,958
206769024,888,756,308
7097344,464,64,239
39245184,304,163,792
83417814,263,402,789
7346108,782,854,11
2656830,194,15,913
83254106,226,559,659
139763430,893,333,470
139268096,968,256,562
5651424,96,633,93
205295712,424,942,514
73084466,227,854,377
217521540,453,604,795
457949856,744,623,988
7236084,79,449,204
29496810,985,62,483
247351104,819,858,352
68232192,668,133,768
5193925,275,101,187
1931880,15,136,947
26363880,180,618,237
43479568,529,467,176
360363150,735,885,554
431445768,997,584,741
252274560,680,786,472
33656350,455,130,569
163760328,409,996,402
251350440,487,680,759
116438784,358,704,462
16545960,472,205,171
289678860,970,846,353
7267860,430,54,313
9261696,64,542,267
22578784,86,269,976
11814292,109,343,316
31647360,64,795,622
35363484,873,988,41
144925560,519,895,312
23265384,898,508,51
15729948,684,29,793
14943240,103,390,372
69779896,508,794,173
305652048,919,507,656
194369794,862,509,443
204445920,852,857,280
91552032,572,342,468
43716600,225,596,326
18385920,84,380,576
39811200,928,650,66
124287975,657,575,329
48201480,855,72,783
143921580,506,570,499
5618968,463,82,148
161779464,924,822,213
192008880,664,918,315
33443496,261,456,281
74362200,190,660,593
277709993,979,857,331
392407296,768,599,853
87516954,387,406,557
170485650,863,450,439
91781334,614,153,977
40739463,289,681,207
63055650,210,373,805
33914874,633,301,178
410450040,935,938,468
430776600,785,680,807
69449120,386,692,260
176239960,290,899,676
238682262,282,923,917
197200,986,5,40
44901675,117,645,595
61395840,418,510,288
191512629,363,679,777
73226010,303,845,286
5273184,294,38,472
6874,7,982,1
207893972,836,611,407
271380585,433,705,889
291468000,856,454,750
539291250,725,855,870
82371182,346,317,751
45331223,343,283,467
367721288,646,761,748
183638400,592,564,550
37369200,275,456,298
467142512,941,874,568
519529752,686,772,981
121239342,459,798,331
7378840,146,95,532
7614600,700,777,14
123868030,485,494,517
651274,74,13,677
28277700,275,228,451
6932289,871,21,379
310181394,491,998,633
7837720,11,940,758
278662176,789,624,566
4731714,657,277,26
79617032,233,706,484
91977688,436,473,446
245887460,835,364,809
47841752,164,469,622
270803104,368,806,913
362396160,512,945,749
156028335,543,505,569
469963296,594,933,848
139754500,626,235,950
247820820,620,481,831
142286008,659,394,548
30260340,682,45,986
300128050,853,775,454
19810170,30,661,999
165802770,441,410,917
74283642,243,306,999
6074994,118,131,393
31389600,451,696,100
43696135,263,329,505
74674986,318,449,523
185737410,555,579,578
53771562,897,103,582
48753649,889,173,317
508500,3,500,339
108526880,176,766,805
334467672,869,812,474
47137860,462,285,358
8515824,177,388,124
59433920,910,416,157
305381376,912,768,436
7446,2,17,219
146297133,809,639,283
125875454,233,626,863
60634332,594,318,321
57127168,898,896,71
208280320,899,640,362
52557318,363,818,177
205432227,429,693,691
213953094,582,849,433
81948168,354,382,606
1551840,318,8,610
770428240,967,920,866
165042045,623,315,841
340795936,848,533,754
69155856,231,396,756
1038496,782,8,166
187140300,489,430,890
264964140,574,690,669
605736000,895,846,800
41333760,920,624,72
94391024,728,241,538
205253048,781,728,361
213731298,657,583,558
25512960,160,302,528
390365352,559,954,732
131455376,899,148,988
3871296,11,564,624
13109767,83,173,913
48203415,153,655,481
589232475,975,729,829
48140736,448,357,301
5182242,377,87,158
362835495,627,669,865
78660000,575,152,900
48301150,485,115,866
250375473,657,773,493
2337874,22,133,799
3306930,10,363,911
70346408,118,797,748
3545640,134,630,42
78924846,773,663,154
61789952,574,128,841
268517792,662,502,808
211417932,839,276,913
529170888,696,863,881
1114295,31,455,79
359875152,754,947,504
86258297,739,773,151
129258486,574,393,573
249808104,923,378,716
627999176,989,667,952
93022644,453,286,718
187878184,536,767,457
542577024,704,911,846
18777204,999,74,254
2263950,195,54,215
2641639,11,637,377
9975200,337,100,296
77837872,983,392,202
164952816,588,602,466
61190316,177,891,388
148806042,658,847,267
71862880,488,796,185
129873132,969,292,459
86639630,371,965,242
659286924,919,764,939
44339667,687,233,277
7179258,443,37,438
25482864,272,187,501
59708460,294,883,230
95594400,568,180,935
228395520,862,414,640
42235648,518,784,104
28955772,618,411,114
23516304,184,238,537
57360492,87,668,987
13005960,835,59,264
116208750,466,285,875
36569350,466,365,215
8389206,139,63,958
6369220,221,110,262
498924120,870,614,934
20250808,136,323,461
61318320,912,113,595
47389860,147,540,597
353090745,807,945,463
13634500,74,335,550
164462584,617,466,572
402692056,953,884,478
196987024,986,884,226
25640004,269,188,507
20427462,498,121,339
20087540,524,205,187
378016695,955,549,721
89712700,140,671,955
4360119,31,813,173
126118912,928,496,274
151917185,595,391,653
168348569,527,391,817
17378625,125,363,383
137119212,499,612,449
450619938,951,523,906
246130065,409,933,645
32385584,194,616,271
28356416,44,752,857
38472530,85,817,554
154791680,415,752,496
260820,21,20,621
288153855,639,495,911
537526260,895,603,996
6340320,714,592,15
4458492,457,813,12
144614547,633,903,253
192030720,640,893,336
164505186,827,258,771
4934300,665,140,53
24089256,834,249,116
176144320,652,614,440
2743200,762,120,30
10150206,363,682,41
177801810,969,622,295
189609984,384,508,972
49303800,585,215,392
78688080,586,180,746
919656,482,318,6
26440480,220,332,362
107523252,236,713,639
106761768,744,367,391
10848208,137,196,404
83301504,902,888,104
35271018,783,223,202
517273626,951,961,566
2691360,801,48,70
1116594,41,801,34
389696916,813,742,646
29645000,350,175,484
316173000,715,536,825
677040,217,260,12
418492536,692,833,726
102058880,763,880,152
59483840,208,395,724
543826028,971,652,859
136923300,911,334,450
47413800,225,212,994
823200,686,400,3
4251016,412,134,77
115237850,910,817,155
844000,1,1000,844
347743058,697,806,619
406517940,870,509,918
14232400,391,112,325
641190140,964,685,971
33208722,597,381,146
58464000,420,192,725
19323360,568,630,54
12754308,763,597,28
279232380,945,346,854
110181760,320,697,494
154960344,792,231,847
23916618,99,278,869
31844043,187,901,189
239145214,506,631,749
32140570,49,670,979
9891552,58,304,561
111146490,315,662,533
333107808,662,953,528
754028550,895,851,990
85034880,592,684,210
1337356,68,277,71
46074600,75,858,716
113149586,314,517,697
7987446,18,457,971
19881177,391,997,51
710040564,969,908,807
269707482,921,459,638
2889984,159,128,142
